event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e62,Control,localize,2026-08-27T20:28:37.556370,2026-08-27T20:28:42.564043,robot1,m6,s4
e63,Task,pick,2026-08-27T20:28:42.566265,2026-08-27T20:28:46.574727,robot1,m6,s4
e64,Task,move_to,2026-08-27T20:28:46.580466,2026-08-27T20:28:57.899405,robot1,m6,s4
e65,Control,localize,2026-08-27T20:28:57.900657,2026-08-27T20:29:02.905774,robot1,m6,s4
e66,Task,place,2026-08-27T20:29:02.909957,2026-08-27T20:29:06.914800,robot1,m6,s4
e67,Control,localize,2026-08-27T20:29:18.231126,2026-08-27T20:29:23.237494,robot1,m6,s4
e68,Task,pick,2026-08-27T20:29:23.239741,2026-08-27T20:29:27.247236,robot1,m6,s4
e69,Task,move_to,2026-08-27T20:29:27.253376,2026-08-27T20:29:35.746402,robot1,m6,s4
e70,Control,localize,2026-08-27T20:29:35.750957,2026-08-27T20:29:40.758055,robot1,m6,s4
e71,Task,place,2026-08-27T20:29:40.760048,2026-08-27T20:29:44.769224,robot1,m6,s4
e72,Control,undock,2026-08-27T20:22:34.256442,2026-08-27T20:22:38.260524,robot2,m1,s2
e73,Control,move_to,2026-08-27T20:22:38.261138,2026-08-27T20:22:45.476911,robot2,m1,s2
e74,Control,localize,2026-08-27T20:22:45.478182,2026-08-27T20:22:50.482709,robot2,m1,s2
e75,Task,pick,2026-08-27T20:22:50.483307,2026-08-27T20:22:52.485946,robot2,m1,s2
e76,Task,move_to,2026-08-27T20:22:52.487726,2026-08-27T20:23:00.977749,robot2,m1,s2
e77,Control,localize,2026-08-27T20:23:00.980190,2026-08-27T20:23:05.988370,robot2,m1,s2
e78,Task,place,2026-08-27T20:23:05.991273,2026-08-27T20:23:07.998248,robot2,m1,s2
e79,Control,move_to,2026-08-27T20:23:08.241560,2026-08-27T20:23:16.735919,robot2,m3,s3
e80,Control,localize,2026-08-27T20:23:16.738271,2026-08-27T20:23:21.747114,robot2,m3,s3
e81,Task,pick,2026-08-27T20:23:21.748544,2026-08-27T20:23:26.755064,robot2,m3,s3
e82,Task,move_to,2026-08-27T20:23:26.759557,2026-08-27T20:23:35.248696,robot2,m3,s3
e83,Control,localize,2026-08-27T20:23:35.250268,2026-08-27T20:23:40.252809,robot2,m3,s3
e84,Task,place,2026-08-27T20:23:40.253480,2026-08-27T20:23:45.260050,robot2,m3,s3
e85,Control,localize,2026-08-27T20:23:46.240897,2026-08-27T20:23:51.248149,robot2,m3,s2
e86,Task,pick,2026-08-27T20:23:51.250537,2026-08-27T20:23:54.257068,robot2,m3,s2
e87,Task,move_to,2026-08-27T20:23:54.259620,2026-08-27T20:24:02.751125,robot2,m3,s2
e88,Control,localize,2026-08-27T20:24:02.754521,2026-08-27T20:24:07.762066,robot2,m3,s2
e89,Task,place,2026-08-27T20:24:07.764710,2026-08-27T20:24:10.774726,robot2,m3,s2
e90,Control,move_to,2026-08-27T20:24:11.239510,2026-08-27T20:24:19.732382,robot2,m3,s3
e91,Control,localize,2026-08-27T20:24:19.734111,2026-08-27T20:24:24.741745,robot2,m3,s3
e92,Task,pick,2026-08-27T20:24:24.743621,2026-08-27T20:24:29.752651,robot2,m3,s3
e93,Task,move_to,2026-08-27T20:24:29.758483,2026-08-27T20:24:38.250020,robot2,m3,s3
e94,Control,localize,2026-08-27T20:24:38.253959,2026-08-27T20:24:43.260987,robot2,m3,s3
e95,Task,place,2026-08-27T20:24:43.263500,2026-08-27T20:24:48.276107,robot2,m3,s3
e96,Control,move_to,2026-08-27T20:24:49.240346,2026-08-27T20:24:57.731992,robot2,m5,s3
e97,Control,localize,2026-08-27T20:24:57.737116,2026-08-27T20:25:02.741749,robot2,m5,s3
e98,Task,pick,2026-08-27T20:25:02.742504,2026-08-27T20:25:07.749495,robot2,m5,s3
e99,Task,move_to,2026-08-27T20:25:07.754959,2026-08-27T20:25:16.247041,robot2,m5,s3
e100,Control,localize,2026-08-27T20:25:16.249359,2026-08-27T20:25:21.254105,robot2,m5,s3
e101,Task,place,2026-08-27T20:25:21.256925,2026-08-27T20:25:26.263583,robot2,m5,s3
e102,Control,move_to,2026-08-27T20:25:27.225667,2026-08-27T20:25:37.428146,robot2,m7,s4
e103,Control,localize,2026-08-27T20:25:37.429122,2026-08-27T20:25:42.436529,robot2,m7,s4
e104,Task,pick,2026-08-27T20:25:42.439134,2026-08-27T20:25:44.448857,robot2,m7,s4
