event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-27T18:30:23.035385,2026-08-27T18:30:27.040288,robot1,m1,s1
e2,Control,move_to,2026-08-27T18:30:27.041934,2026-08-27T18:30:35.994386,robot1,m1,s1
e3,Task,check_room,2026-08-27T18:30:35.996851,2026-08-27T18:30:45.002611,robot1,m1,s1
e4,Task,vacuum,2026-08-27T18:30:46.001563,2026-08-27T18:31:07.006083,robot1,m1,s1
e5,Control,move_to,2026-08-27T18:31:32.003219,2026-08-27T18:31:34.008671,robot1,m1,s4
e6,Task,disinfect,2026-08-27T18:31:34.010552,2026-08-27T18:31:42.016661,robot1,m1,s4
e7,Task,final_room_check,2026-08-27T18:31:45.000523,2026-08-27T18:31:51.007966,robot1,m1,s4
e8,Control,move_to,2026-08-27T18:31:54.997329,2026-08-27T18:31:57.003706,robot1,m1,s2
e9,Task,disinfect,2026-08-27T18:31:57.006150,2026-08-27T18:32:03.012432,robot1,m1,s2
e10,Task,final_room_check,2026-08-27T18:32:03.985443,2026-08-27T18:32:08.491448,robot1,m1,s2
e11,Control,move_to,2026-08-27T18:32:15.995762,2026-08-27T18:32:22.004894,robot1,m1,s3
e12,Task,disinfect,2026-08-27T18:32:22.007679,2026-08-27T18:32:36.015427,robot1,m1,s3
e13,Task,final_room_check,2026-08-27T18:32:39.018061,2026-08-27T18:32:49.525482,robot1,m1,s3
e14,Control,undock,2026-08-27T18:30:23.036155,2026-08-27T18:30:27.041787,robot2,m1,s4
e15,Control,move_to,2026-08-27T18:30:27.043206,2026-08-27T18:30:39.856146,robot2,m1,s4
e16,Task,check_room,2026-08-27T18:30:39.858158,2026-08-27T18:30:45.865196,robot2,m1,s4
e17,Task,vacuum,2026-08-27T18:30:47.995936,2026-08-27T18:31:02.000640,robot2,m1,s4
e18,Control,move_to,2026-08-27T18:31:03.001808,2026-08-27T18:31:05.013752,robot2,m1,s2
e19,Task,vacuum,2026-08-27T18:31:05.014552,2026-08-27T18:31:15.522715,robot2,m1,s2
e20,Control,move_to,2026-08-27T18:31:56.999997,2026-08-27T18:32:05.956114,robot2,m1,s1
e21,Task,disinfect,2026-08-27T18:32:05.958616,2026-08-27T18:32:17.967781,robot2,m1,s1
e22,Task,final_room_check,2026-08-27T18:32:20.029993,2026-08-27T18:32:29.038920,robot2,m1,s1
e23,Control,undock,2026-08-27T18:30:23.034679,2026-08-27T18:30:27.039331,robot3,m1,s3
e24,Control,move_to,2026-08-27T18:30:27.041798,2026-08-27T18:30:40.466058,robot3,m1,s3
e25,Task,check_room,2026-08-27T18:30:40.467908,2026-08-27T18:30:50.973844,robot3,m1,s3
e26,Task,vacuum,2026-08-27T18:30:52.996517,2026-08-27T18:31:17.503540,robot3,m1,s3
e27,Control,undock,2026-08-27T18:30:23.037183,2026-08-27T18:30:27.041799,robot4,m1,s2
e28,Control,move_to,2026-08-27T18:30:27.043225,2026-08-27T18:30:42.670466,robot4,m1,s2
e29,Task,check_room,2026-08-27T18:30:42.672426,2026-08-27T18:30:47.176577,robot4,m1,s2
e30,Control,move_to,2026-08-27T18:31:05.013755,2026-08-27T18:31:09.494150,robot4,m1,s4
e31,Task,mop,2026-08-27T18:31:09.497183,2026-08-27T18:31:31.506660,robot4,m1,s4
e32,Control,undock,2026-08-27T18:31:08.015124,2026-08-27T18:31:12.018596,robot5,m1,s1
e33,Control,move_to,2026-08-27T18:31:12.019681,2026-08-27T18:31:20.972576,robot5,m1,s1
e34,Task,mop,2026-08-27T18:31:20.975657,2026-08-27T18:31:53.981197,robot5,m1,s1
e35,Control,undock,2026-08-27T18:31:15.996522,2026-08-27T18:31:20.002523,robot6,m1,s2
e36,Control,move_to,2026-08-27T18:31:20.003299,2026-08-27T18:31:35.676867,robot6,m1,s2
e37,Task,mop,2026-08-27T18:31:35.677531,2026-08-27T18:31:52.184518,robot6,m1,s2
e38,Control,undock,2026-08-27T18:31:17.997370,2026-08-27T18:31:22.004055,robot7,m1,s3
e39,Control,move_to,2026-08-27T18:31:22.006377,2026-08-27T18:31:35.433658,robot7,m1,s3
e40,Task,mop,2026-08-27T18:31:35.435804,2026-08-27T18:32:13.941722,robot7,m1,s3
