event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-27T18:39:38.289926,2026-08-27T18:39:42.310950,robot1,m3,s1
e2,Control,move_to,2026-08-27T18:39:42.312487,2026-08-27T18:39:51.262888,robot1,m3,s1
e3,Task,check_room,2026-08-27T18:39:51.265852,2026-08-27T18:40:00.271903,robot1,m3,s1
e4,Task,vacuum,2026-08-27T18:40:01.278416,2026-08-27T18:40:22.289938,robot1,m3,s1
e5,Control,move_to,2026-08-27T18:40:23.282610,2026-08-27T18:40:36.095227,robot1,m3,s4
e6,Task,vacuum,2026-08-27T18:40:36.097798,2026-08-27T18:40:50.105979,robot1,m3,s4
e7,Control,move_to,2026-08-27T18:40:50.280610,2026-08-27T18:40:59.227564,robot1,m3,s6
e8,Task,vacuum,2026-08-27T18:40:59.229575,2026-08-27T18:41:20.236655,robot1,m3,s6
e9,Control,move_to,2026-08-27T18:41:20.279713,2026-08-27T18:41:48.361181,robot1,m3,s13
e10,Task,vacuum,2026-08-27T18:41:48.363368,2026-08-27T18:42:12.867546,robot1,m3,s13
e11,Control,move_to,2026-08-27T18:42:13.305692,2026-08-27T18:42:49.366712,robot1,m3,s15
e12,Task,vacuum,2026-08-27T18:42:49.367613,2026-08-27T18:43:06.872589,robot1,m3,s15
e13,Control,move_to,2026-08-27T18:43:07.285079,2026-08-27T18:43:20.711238,robot1,m3,s14
e14,Task,disinfect,2026-08-27T18:43:20.713317,2026-08-27T18:43:28.718328,robot1,m3,s14
e15,Task,final_room_check,2026-08-27T18:43:29.289451,2026-08-27T18:43:35.296049,robot1,m3,s14
e16,Control,move_to,2026-08-27T18:43:43.289879,2026-08-27T18:43:52.240910,robot1,m3,s11
e17,Task,disinfect,2026-08-27T18:43:52.242195,2026-08-27T18:44:04.248474,robot1,m3,s11
e18,Task,final_room_check,2026-08-27T18:44:06.292184,2026-08-27T18:44:15.297592,robot1,m3,s11
e19,Control,move_to,2026-08-27T18:44:21.283801,2026-08-27T18:44:42.170388,robot1,m3,s13
e20,Task,final_room_check,2026-08-27T18:44:42.172772,2026-08-27T18:44:52.682199,robot1,m3,s13
e21,Control,move_to,2026-08-27T18:45:08.301311,2026-08-27T18:45:45.077030,robot1,m3,s12
e22,Task,final_room_check,2026-08-27T18:45:45.079880,2026-08-27T18:45:49.589855,robot1,m3,s12
e23,Control,undock,2026-08-27T18:39:38.295511,2026-08-27T18:39:42.301006,robot2,m3,s8
e24,Control,move_to,2026-08-27T18:39:42.302810,2026-08-27T18:39:58.802111,robot2,m3,s8
e25,Task,check_room,2026-08-27T18:39:58.804941,2026-08-27T18:40:09.310924,robot2,m3,s8
e26,Task,vacuum,2026-08-27T18:40:12.306587,2026-08-27T18:40:36.815334,robot2,m3,s8
e27,Control,move_to,2026-08-27T18:40:37.292607,2026-08-27T18:40:55.404694,robot2,m3,s3
e28,Task,vacuum,2026-08-27T18:40:55.406444,2026-08-27T18:41:19.911047,robot2,m3,s3
e29,Control,move_to,2026-08-27T18:41:20.284544,2026-08-27T18:41:57.493842,robot2,m3,s9
e30,Task,vacuum,2026-08-27T18:41:57.495718,2026-08-27T18:42:11.501975,robot2,m3,s9
e31,Control,move_to,2026-08-27T18:42:12.287628,2026-08-27T18:42:31.267049,robot2,m3,s11
e32,Task,vacuum,2026-08-27T18:42:31.267701,2026-08-27T18:42:52.272639,robot2,m3,s11
e33,Control,move_to,2026-08-27T18:42:53.284735,2026-08-27T18:43:08.539433,robot2,m3,s12
e34,Task,vacuum,2026-08-27T18:43:08.542074,2026-08-27T18:43:19.050310,robot2,m3,s12
e35,Control,move_to,2026-08-27T18:43:19.294424,2026-08-27T18:43:42.622457,robot2,m3,s9
e36,Task,disinfect,2026-08-27T18:43:42.624055,2026-08-27T18:43:50.630584,robot2,m3,s9
e37,Task,final_room_check,2026-08-27T18:43:51.271561,2026-08-27T18:43:57.277189,robot2,m3,s9
e38,Control,move_to,2026-08-27T18:43:59.281547,2026-08-27T18:44:19.389555,robot2,m3,s15
e39,Task,disinfect,2026-08-27T18:44:19.392360,2026-08-27T18:44:29.399062,robot2,m3,s15
e40,Task,final_room_check,2026-08-27T18:44:32.315932,2026-08-27T18:44:39.822153,robot2,m3,s15
e41,Control,undock,2026-08-27T18:39:38.303413,2026-08-27T18:39:42.308532,robot3,m3,s2
e42,Control,move_to,2026-08-27T18:39:42.309769,2026-08-27T18:40:04.676525,robot3,m3,s2
e43,Task,check_room,2026-08-27T18:40:04.679465,2026-08-27T18:40:09.187600,robot3,m3,s2
e44,Task,vacuum,2026-08-27T18:40:11.303596,2026-08-27T18:40:21.813667,robot3,m3,s2
e45,Control,move_to,2026-08-27T18:40:22.295401,2026-08-27T18:40:28.622576,robot3,m3,s7
e46,Task,vacuum,2026-08-27T18:40:28.623450,2026-08-27T18:40:39.129408,robot3,m3,s7
e47,Control,move_to,2026-08-27T18:40:39.285193,2026-08-27T18:40:52.704386,robot3,m3,s5
e48,Task,vacuum,2026-08-27T18:40:52.706411,2026-08-27T18:41:10.214994,robot3,m3,s5
e49,Control,move_to,2026-08-27T18:41:10.272906,2026-08-27T18:41:24.842297,robot3,m3,s2
e50,Task,disinfect,2026-08-27T18:41:24.844956,2026-08-27T18:41:30.852823,robot3,m3,s2
e51,Task,final_room_check,2026-08-27T18:41:31.285638,2026-08-27T18:41:35.791962,robot3,m3,s2
e52,Control,move_to,2026-08-27T18:41:36.280379,2026-08-27T18:41:54.285876,robot3,m3,s14
e53,Task,vacuum,2026-08-27T18:41:54.288799,2026-08-27T18:42:08.294797,robot3,m3,s14
e54,Control,move_to,2026-08-27T18:42:09.375405,2026-08-27T18:42:35.707968,robot3,m3,s10
e55,Task,vacuum,2026-08-27T18:42:35.713838,2026-08-27T18:42:53.221442,robot3,m3,s10
e56,Control,move_to,2026-08-27T18:42:53.295471,2026-08-27T18:43:33.549762,robot3,m3,s5
e57,Task,disinfect,2026-08-27T18:43:33.551217,2026-08-27T18:43:43.558603,robot3,m3,s5
e58,Task,final_room_check,2026-08-27T18:43:46.290880,2026-08-27T18:43:53.798836,robot3,m3,s5
e59,Control,move_to,2026-08-27T18:44:04.281194,2026-08-27T18:44:25.920789,robot3,m3,s10
e60,Task,disinfect,2026-08-27T18:44:25.923209,2026-08-27T18:44:35.931492,robot3,m3,s10
e61,Task,final_room_check,2026-08-27T18:44:38.285100,2026-08-27T18:44:45.791946,robot3,m3,s10
e62,Control,undock,2026-08-27T18:39:38.320690,2026-08-27T18:39:42.331181,robot4,m3,s3
e63,Control,move_to,2026-08-27T18:39:42.333595,2026-08-27T18:40:05.144743,robot4,m3,s3
e64,Task,check_room,2026-08-27T18:40:05.147185,2026-08-27T18:40:15.654637,robot4,m3,s3
e65,Control,move_to,2026-08-27T18:40:16.280277,2026-08-27T18:41:02.801694,robot4,m3,s15
e66,Task,check_room,2026-08-27T18:41:02.804617,2026-08-27T18:41:10.310084,robot4,m3,s15
e67,Control,move_to,2026-08-27T18:41:19.289600,2026-08-27T18:41:33.723188,robot4,m3,s7
e68,Task,disinfect,2026-08-27T18:41:33.725895,2026-08-27T18:41:39.734047,robot4,m3,s7
e69,Task,final_room_check,2026-08-27T18:41:42.288755,2026-08-27T18:41:46.796216,robot4,m3,s7
e70,Control,move_to,2026-08-27T18:41:47.280093,2026-08-27T18:41:59.936504,robot4,m3,s3
e71,Task,mop,2026-08-27T18:41:59.938201,2026-08-27T18:42:38.455152,robot4,m3,s3
e72,Task,disinfect,2026-08-27T18:42:39.282229,2026-08-27T18:42:53.288436,robot4,m3,s3
e73,Task,final_room_check,2026-08-27T18:42:56.290660,2026-08-27T18:43:06.795527,robot4,m3,s3
e74,Control,move_to,2026-08-27T18:43:07.292331,2026-08-27T18:43:10.127271,robot4,m3,s1
e75,Task,disinfect,2026-08-27T18:43:10.129419,2026-08-27T18:43:22.137447,robot4,m3,s1
e76,Task,final_room_check,2026-08-27T18:43:24.294263,2026-08-27T18:43:33.301142,robot4,m3,s1
e77,Control,move_to,2026-08-27T18:44:15.279573,2026-08-27T18:45:00.006208,robot4,m3,s12
e78,Task,disinfect,2026-08-27T18:45:00.007958,2026-08-27T18:45:06.016040,robot4,m3,s12
e79,Control,undock,2026-08-27T18:39:38.339007,2026-08-27T18:39:42.344760,robot5,m3,s7
e80,Control,move_to,2026-08-27T18:39:42.347306,2026-08-27T18:40:05.158229,robot5,m3,s7
e81,Task,check_room,2026-08-27T18:40:05.159946,2026-08-27T18:40:09.667289,robot5,m3,s7
e82,Control,move_to,2026-08-27T18:40:10.287764,2026-08-27T18:40:30.393695,robot5,m3,s14
e83,Task,check_room,2026-08-27T18:40:30.395737,2026-08-27T18:40:36.403214,robot5,m3,s14
e84,Control,move_to,2026-08-27T18:40:37.282517,2026-08-27T18:40:51.430767,robot5,m3,s12
e85,Task,check_room,2026-08-27T18:40:51.432265,2026-08-27T18:40:55.934741,robot5,m3,s12
e86,Control,move_to,2026-08-27T18:40:56.282170,2026-08-27T18:41:40.156311,robot5,m3,s4
e87,Task,mop,2026-08-27T18:41:40.159342,2026-08-27T18:42:02.165541,robot5,m3,s4
e88,Task,disinfect,2026-08-27T18:42:04.292667,2026-08-27T18:42:12.298244,robot5,m3,s4
e89,Task,final_room_check,2026-08-27T18:42:13.306691,2026-08-27T18:42:19.313132,robot5,m3,s4
e90,Control,move_to,2026-08-27T18:42:20.281448,2026-08-27T18:42:29.229816,robot5,m3,s6
e91,Task,disinfect,2026-08-27T18:42:29.230362,2026-08-27T18:42:41.236340,robot5,m3,s6
e92,Task,final_room_check,2026-08-27T18:42:43.359562,2026-08-27T18:42:52.363484,robot5,m3,s6
