event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-27T19:08:47.268242,2026-08-27T19:08:51.272652,robot1,m1,s1
e2,Control,move_to,2026-08-27T19:08:51.274208,2026-08-27T19:09:00.225992,robot1,m1,s1
e3,Task,vacuum,2026-08-27T19:09:00.228780,2026-08-27T19:09:21.234564,robot1,m1,s1
e4,Control,move_to,2026-08-27T19:09:46.243163,2026-08-27T19:09:50.721650,robot1,m1,s2
e5,Task,disinfect,2026-08-27T19:09:50.723961,2026-08-27T19:09:56.731637,robot1,m1,s2
e6,Control,move_to,2026-08-27T19:10:02.247639,2026-08-27T19:10:11.197206,robot1,m1,s1
e7,Task,disinfect,2026-08-27T19:10:11.199991,2026-08-27T19:10:23.207645,robot1,m1,s1
e8,Control,move_to,2026-08-27T19:10:37.249962,2026-08-27T19:10:41.727709,robot1,m1,s3
e9,Task,disinfect,2026-08-27T19:10:41.730479,2026-08-27T19:10:55.741160,robot1,m1,s3
e10,Control,undock,2026-08-27T19:08:49.282784,2026-08-27T19:08:53.286228,robot2,m1,s4
e11,Control,move_to,2026-08-27T19:08:53.287117,2026-08-27T19:09:06.099221,robot2,m1,s4
e12,Task,vacuum,2026-08-27T19:09:06.101530,2026-08-27T19:09:20.109112,robot2,m1,s4
e13,Control,move_to,2026-08-27T19:09:20.272119,2026-08-27T19:09:24.749895,robot2,m1,s3
e14,Task,vacuum,2026-08-27T19:09:24.752363,2026-08-27T19:09:49.257265,robot2,m1,s3
e15,Control,undock,2026-08-27T19:08:49.238214,2026-08-27T19:08:53.243194,robot3,m1,s2
e16,Control,move_to,2026-08-27T19:08:53.244128,2026-08-27T19:09:08.869465,robot3,m1,s2
e17,Task,vacuum,2026-08-27T19:09:08.870399,2026-08-27T19:09:19.377794,robot3,m1,s2
e18,Control,move_to,2026-08-27T19:09:49.268306,2026-08-27T19:09:53.746637,robot3,m1,s4
e19,Task,disinfect,2026-08-27T19:09:53.749455,2026-08-27T19:10:01.758601,robot3,m1,s4
e20,Control,undock,2026-08-27T19:08:24.250436,2026-08-27T19:08:28.255870,robot6,m1,s1
e21,Control,move_to,2026-08-27T19:08:28.257639,2026-08-27T19:08:37.226571,robot6,m1,s1
e22,Task,check_room,2026-08-27T19:08:37.227237,2026-08-27T19:08:46.232123,robot6,m1,s1
e23,Control,move_to,2026-08-27T19:09:22.272822,2026-08-27T19:09:26.750681,robot6,m1,s2
e24,Task,mop,2026-08-27T19:09:26.753329,2026-08-27T19:09:43.261963,robot6,m1,s2
e25,Control,move_to,2026-08-27T19:09:52.251363,2026-08-27T19:09:58.259475,robot6,m1,s3
e26,Task,mop,2026-08-27T19:09:58.261368,2026-08-27T19:10:36.769926,robot6,m1,s3
e27,Task,final_room_check,2026-08-27T19:10:58.255425,2026-08-27T19:11:08.764514,robot6,m1,s3
e28,Control,undock,2026-08-27T19:08:24.251352,2026-08-27T19:08:28.255812,robot7,m1,s2
e29,Control,move_to,2026-08-27T19:08:28.280947,2026-08-27T19:08:43.907456,robot7,m1,s2
e30,Task,check_room,2026-08-27T19:08:43.909566,2026-08-27T19:08:48.417454,robot7,m1,s2
e31,Control,move_to,2026-08-27T19:09:22.276621,2026-08-27T19:09:26.753889,robot7,m1,s4
e32,Task,mop,2026-08-27T19:09:26.755594,2026-08-27T19:09:48.763783,robot7,m1,s4
e33,Control,move_to,2026-08-27T19:09:57.242818,2026-08-27T19:09:59.246655,robot7,m1,s2
e34,Task,final_room_check,2026-08-27T19:09:59.247360,2026-08-27T19:10:03.753270,robot7,m1,s2
e35,Control,move_to,2026-08-27T19:10:25.246563,2026-08-27T19:10:34.195946,robot7,m1,s1
e36,Task,final_room_check,2026-08-27T19:10:34.197663,2026-08-27T19:10:43.203387,robot7,m1,s1
e37,Control,undock,2026-08-27T19:08:24.252125,2026-08-27T19:08:28.256229,robot8,m1,s3
e38,Control,move_to,2026-08-27T19:08:28.258514,2026-08-27T19:08:41.702538,robot8,m1,s3
e39,Task,check_room,2026-08-27T19:08:41.705054,2026-08-27T19:08:52.210862,robot8,m1,s3
e40,Control,move_to,2026-08-27T19:09:24.259904,2026-08-27T19:09:27.093722,robot8,m1,s1
e41,Task,mop,2026-08-27T19:09:27.095865,2026-08-27T19:10:00.100869,robot8,m1,s1
e42,Control,move_to,2026-08-27T19:10:04.249926,2026-08-27T19:10:06.255616,robot8,m1,s4
e43,Task,final_room_check,2026-08-27T19:10:06.257591,2026-08-27T19:10:12.262909,robot8,m1,s4
e44,Control,undock,2026-08-27T19:08:24.254566,2026-08-27T19:08:28.259014,robot9,m1,s4
e45,Control,move_to,2026-08-27T19:08:28.260955,2026-08-27T19:08:41.091858,robot9,m1,s4
e46,Task,check_room,2026-08-27T19:08:41.093624,2026-08-27T19:08:47.101223,robot9,m1,s4
