event_id,event_type,activity,start_time,end_time,robot_id,mission_id,segment_id
e1,Control,undock,2026-08-27T19:14:50.846189,2026-08-27T19:14:54.850086,robot1,m2,s5
e2,Control,move_to,2026-08-27T19:14:54.851825,2026-08-27T19:15:19.598980,robot1,m2,s5
e3,Task,check_room,2026-08-27T19:15:19.600926,2026-08-27T19:15:27.109644,robot1,m2,s5
e4,Control,move_to,2026-08-27T19:15:27.848022,2026-08-27T19:15:42.413986,robot1,m2,s2
e5,Task,vacuum,2026-08-27T19:15:42.416070,2026-08-27T19:15:52.922355,robot1,m2,s2
e6,Control,move_to,2026-08-27T19:15:53.813352,2026-08-27T19:15:58.292495,robot1,m2,s4
e7,Task,vacuum,2026-08-27T19:15:58.295126,2026-08-27T19:16:12.304210,robot1,m2,s4
e8,Control,move_to,2026-08-27T19:16:12.833794,2026-08-27T19:16:15.668299,robot1,m2,s7
e9,Task,vacuum,2026-08-27T19:16:15.671538,2026-08-27T19:16:26.181650,robot1,m2,s7
e10,Control,move_to,2026-08-27T19:16:26.813948,2026-08-27T19:16:40.963154,robot1,m2,s8
e11,Task,vacuum,2026-08-27T19:16:40.965207,2026-08-27T19:17:05.471825,robot1,m2,s8
e12,Control,move_to,2026-08-27T19:17:08.819785,2026-08-27T19:17:26.028802,robot1,m2,s7
e13,Task,final_room_check,2026-08-27T19:17:26.029651,2026-08-27T19:17:30.534989,robot1,m2,s7
e14,Control,move_to,2026-08-27T19:17:34.819112,2026-08-27T19:17:43.309868,robot1,m2,s6
e15,Task,disinfect,2026-08-27T19:17:43.311158,2026-08-27T19:17:55.312919,robot1,m2,s6
e16,Control,move_to,2026-08-27T19:17:55.811415,2026-08-27T19:18:04.762664,robot1,m2,s8
e17,Task,disinfect,2026-08-27T19:18:04.765592,2026-08-27T19:18:18.774952,robot1,m2,s8
e18,Control,undock,2026-08-27T19:14:50.880782,2026-08-27T19:14:54.884124,robot2,m2,s6
e19,Control,move_to,2026-08-27T19:14:54.885501,2026-08-27T19:15:21.723957,robot2,m2,s6
e20,Task,check_room,2026-08-27T19:15:21.725238,2026-08-27T19:15:30.732026,robot2,m2,s6
e21,Control,move_to,2026-08-27T19:15:30.823546,2026-08-27T19:15:42.493128,robot2,m2,s3
e22,Task,vacuum,2026-08-27T19:15:42.495786,2026-08-27T19:16:07.003659,robot2,m2,s3
e23,Control,move_to,2026-08-27T19:16:07.817127,2026-08-27T19:16:26.798329,robot2,m2,s6
e24,Task,vacuum,2026-08-27T19:16:26.801320,2026-08-27T19:16:47.820822,robot2,m2,s6
e25,Control,move_to,2026-08-27T19:16:48.813658,2026-08-27T19:17:00.482488,robot2,m2,s3
e26,Task,disinfect,2026-08-27T19:17:00.484503,2026-08-27T19:17:14.494251,robot2,m2,s3
e27,Control,move_to,2026-08-27T19:17:36.817500,2026-08-27T19:17:54.820650,robot2,m2,s5
e28,Task,disinfect,2026-08-27T19:17:54.822881,2026-08-27T19:18:04.829675,robot2,m2,s5
e29,Control,undock,2026-08-27T19:14:50.919259,2026-08-27T19:14:54.927099,robot3,m2,s7
e30,Control,move_to,2026-08-27T19:14:54.928814,2026-08-27T19:15:17.741859,robot3,m2,s7
e31,Task,check_room,2026-08-27T19:15:17.744742,2026-08-27T19:15:22.250683,robot3,m2,s7
e32,Control,move_to,2026-08-27T19:15:22.806377,2026-08-27T19:15:40.019595,robot3,m2,s1
e33,Task,vacuum,2026-08-27T19:15:40.022563,2026-08-27T19:16:01.030651,robot3,m2,s1
e34,Control,move_to,2026-08-27T19:16:01.819533,2026-08-27T19:16:17.953169,robot3,m2,s5
e35,Task,vacuum,2026-08-27T19:16:17.955526,2026-08-27T19:16:35.465772,robot3,m2,s5
e36,Control,move_to,2026-08-27T19:16:37.809849,2026-08-27T19:16:47.816483,robot3,m2,s4
e37,Task,disinfect,2026-08-27T19:16:47.818901,2026-08-27T19:16:55.826866,robot3,m2,s4
e38,Control,move_to,2026-08-27T19:16:56.815695,2026-08-27T19:17:11.244967,robot3,m2,s1
e39,Task,disinfect,2026-08-27T19:17:11.247715,2026-08-27T19:17:23.256585,robot3,m2,s1
e40,Control,undock,2026-08-27T19:14:50.927247,2026-08-27T19:14:54.931402,robot4,m2,s8
e41,Control,move_to,2026-08-27T19:14:54.932954,2026-08-27T19:15:11.433735,robot4,m2,s8
e42,Task,check_room,2026-08-27T19:15:11.436706,2026-08-27T19:15:21.945780,robot4,m2,s8
e43,Control,move_to,2026-08-27T19:16:24.814235,2026-08-27T19:16:41.910595,robot4,m2,s2
e44,Task,disinfect,2026-08-27T19:16:41.911224,2026-08-27T19:16:47.915091,robot4,m2,s2
e45,Control,move_to,2026-08-27T19:16:53.814618,2026-08-27T19:17:00.147291,robot4,m2,s7
e46,Task,disinfect,2026-08-27T19:17:00.149694,2026-08-27T19:17:06.158018,robot4,m2,s7
